,-1395.21527,-337.8387407,-0.742646107,-0.354807642,0.463814971
0.5,-104.4363412,-38.21396936,-0.054767164,-0.020039679,-0.000897231
0.2,-295.4326815,-5.600239436,-0.061970804,-0.001174722,-0.658536177
0.1,716.1358215,143.2271643,0.075109349,0.01502187,-0.328163919
0,-598.3823861,-119.6764772,0,0,0.55985181
0.1,-333.746706,-66.7493412,-0.035003832,-0.007000766,
0.1,1532.6105,379.8291201,0.16074238,0.039837021,
0,227.0940084,45.41880168,0,0,
0,-251.3730553,0.396318214,-0.658536177,-0.328163919,
