1812962,1526537,1315013,1239001,1186029,1132060,1081001,1032007,985710,936480,891133,845979,1812962,1526537,1315013,1239001,1186029,1132060,1081001,1032007,985710,936480,891133,845979
1526537,1803807,1524952,1329261,1258517,1196416,1138910,1084914,1034184,981100,932870,885300,1526537,1803807,1524952,1329261,1258517,1196416,1138910,1084914,1034184,981100,932870,885300
1315013,1524952,1803538,1542137,1352955,1273434,1207154,1146380,1090595,1033474,981716,931243,1315013,1524952,1803538,1542137,1352955,1273434,1207154,1146380,1090595,1033474,981716,931243
1239001,1329261,1542137,1833831,1580232,1391909,1307105,1236275,1172984,1109360,1052492,996761,1239001,1329261,1542137,1833831,1580232,1391909,1307105,1236275,1172984,1109360,1052492,996761
1186029,1258517,1352955,1580232,1880960,1626489,1436132,1346721,1272893,1199966,1136060,1074495,1186029,1258517,1352955,1580232,1880960,1626489,1436132,1346721,1272893,1199966,1136060,1074495
1132060,1196416,1273434,1391909,1626489,1919157,1663982,1472391,1378172,1293925,1221764,1152485,1132060,1196416,1273434,1391909,1626489,1919157,1663982,1472391,1378172,1293925,1221764,1152485
1081001,1138910,1207154,1307105,1436132,1663982,1953311,1697230,1499982,1394941,1311140,1232170,1081001,1138910,1207154,1307105,1436132,1663982,1953311,1697230,1499982,1394941,1311140,1232170
1032007,1084914,1146380,1236275,1346721,1472391,1697230,1984322,1722363,1511963,1407419,1316745,1032007,1084914,1146380,1236275,1346721,1472391,1697230,1984322,1722363,1511963,1407419,1316745
985710,1034184,1090595,1172984,1272893,1378172,1499982,1722363,2010111,1733440,1525586,1413266,985710,1034184,1090595,1172984,1272893,1378172,1499982,1722363,2010111,1733440,1525586,1413266
936480,981100,1033474,1109360,1199966,1293925,1394941,1511963,1733440,2022133,1748892,1523020,936480,981100,1033474,1109360,1199966,1293925,1394941,1511963,1733440,2022133,1748892,1523020
891133,932870,981716,1052492,1136060,1221764,1311140,1407419,1525586,1748892,2037526,1743262,891133,932870,981716,1052492,1136060,1221764,1311140,1407419,1525586,1748892,2037526,1743262
845979,885300,931243,996761,1074495,1152485,1232170,1316745,1413266,1523020,1743262,2037114,845979,885300,931243,996761,1074495,1152485,1232170,1316745,1413266,1523020,1743262,2037114
1812962,1526537,1315013,1239001,1186029,1132060,1081001,1032007,985710,936480,891133,845979,1812962,1526537,1315013,1239001,1186029,1132060,1081001,1032007,985710,936480,891133,845979
1526537,1803807,1524952,1329261,1258517,1196416,1138910,1084914,1034184,981100,932870,885300,1526537,1803807,1524952,1329261,1258517,1196416,1138910,1084914,1034184,981100,932870,885300
1315013,1524952,1803538,1542137,1352955,1273434,1207154,1146380,1090595,1033474,981716,931243,1315013,1524952,1803538,1542137,1352955,1273434,1207154,1146380,1090595,1033474,981716,931243
1239001,1329261,1542137,1833831,1580232,1391909,1307105,1236275,1172984,1109360,1052492,996761,1239001,1329261,1542137,1833831,1580232,1391909,1307105,1236275,1172984,1109360,1052492,996761
1186029,1258517,1352955,1580232,1880960,1626489,1436132,1346721,1272893,1199966,1136060,1074495,1186029,1258517,1352955,1580232,1880960,1626489,1436132,1346721,1272893,1199966,1136060,1074495
1132060,1196416,1273434,1391909,1626489,1919157,1663982,1472391,1378172,1293925,1221764,1152485,1132060,1196416,1273434,1391909,1626489,1919157,1663982,1472391,1378172,1293925,1221764,1152485
1081001,1138910,1207154,1307105,1436132,1663982,1953311,1697230,1499982,1394941,1311140,1232170,1081001,1138910,1207154,1307105,1436132,1663982,1953311,1697230,1499982,1394941,1311140,1232170
1032007,1084914,1146380,1236275,1346721,1472391,1697230,1984322,1722363,1511963,1407419,1316745,1032007,1084914,1146380,1236275,1346721,1472391,1697230,1984322,1722363,1511963,1407419,1316745
985710,1034184,1090595,1172984,1272893,1378172,1499982,1722363,2010111,1733440,1525586,1413266,985710,1034184,1090595,1172984,1272893,1378172,1499982,1722363,2010111,1733440,1525586,1413266
936480,981100,1033474,1109360,1199966,1293925,1394941,1511963,1733440,2022133,1748892,1523020,936480,981100,1033474,1109360,1199966,1293925,1394941,1511963,1733440,2022133,1748892,1523020
891133,932870,981716,1052492,1136060,1221764,1311140,1407419,1525586,1748892,2037526,1743262,891133,932870,981716,1052492,1136060,1221764,1311140,1407419,1525586,1748892,2037526,1743262
845979,885300,931243,996761,1074495,1152485,1232170,1316745,1413266,1523020,1743262,2037114,845979,885300,931243,996761,1074495,1152485,1232170,1316745,1413266,1523020,1743262,2037114
