year,sd_delta_inc,sd_delta_inc_unexpl
2004,,.1032814
2005,6901.562,.106787
2006,7231.079,.1064421
2007,7994.825,.1125966
2008,8160.34,.112851
2009,8395.513,.1139236
2010,9447.902,.1158499
2011,8496.566,.1110407
2012,8269.18,.1050939
2013,8318.733,.1036143
2014,8372.207,.1024813
2015,8395.417,.1030272
