1741810,1452121,1251515,1177603,1130737,1079597,1030299,984978,940860,894140,852544,810507,1741810,1452121,1251515,1177603,1130737,1079597,1030299,984978,940860,894140,852544,810507
1452121,1732952,1445934,1265514,1197637,1139445,1084685,1034891,986894,936880,892839,848623,1452121,1732952,1445934,1265514,1197637,1139445,1084685,1034891,986894,936880,892839,848623
1251515,1445934,1732881,1461892,1287669,1210301,1147702,1091744,1039155,985442,938304,891345,1251515,1445934,1732881,1461892,1287669,1210301,1147702,1091744,1039155,985442,938304,891345
1177603,1265514,1461892,1761964,1498553,1323156,1241062,1175575,1116254,1056583,1004955,953375,1177603,1265514,1461892,1761964,1498553,1323156,1241062,1175575,1116254,1056583,1004955,953375
1130737,1197637,1287669,1498553,1807448,1540837,1363181,1279037,1210289,1142770,1084327,1027662,1130737,1197637,1287669,1498553,1807448,1540837,1363181,1279037,1210289,1142770,1084327,1027662
1079597,1139445,1210301,1323156,1540837,1843908,1574870,1397733,1307264,1230649,1164161,1100895,1079597,1139445,1210301,1323156,1540837,1843908,1574870,1397733,1307264,1230649,1164161,1100895
1030299,1084685,1147702,1241062,1363181,1574870,1876921,1608169,1422943,1323192,1246487,1174842,1030299,1084685,1147702,1241062,1363181,1574870,1876921,1608169,1422943,1323192,1246487,1174842
984978,1034891,1091744,1175575,1279037,1397733,1608169,1906959,1629554,1432217,1334785,1252916,984978,1034891,1091744,1175575,1279037,1397733,1608169,1906959,1629554,1432217,1334785,1252916
940860,986894,1039155,1116254,1210289,1307264,1422943,1629554,1931493,1639541,1447142,1341298,940860,986894,1039155,1116254,1210289,1307264,1422943,1629554,1931493,1639541,1447142,1341298
894140,936880,985442,1056583,1142770,1230649,1323192,1432217,1639541,1942782,1652218,1444125,894140,936880,985442,1056583,1142770,1230649,1323192,1432217,1639541,1942782,1652218,1444125
852544,892839,938304,1004955,1084327,1164161,1246487,1334785,1447142,1652218,1958045,1651923,852544,892839,938304,1004955,1084327,1164161,1246487,1334785,1447142,1652218,1958045,1651923
810507,848623,891345,953375,1027662,1100895,1174842,1252916,1341298,1444125,1651923,1957637,810507,848623,891345,953375,1027662,1100895,1174842,1252916,1341298,1444125,1651923,1957637
1741810,1452121,1251515,1177603,1130737,1079597,1030299,984978,940860,894140,852544,810507,1741810,1452121,1251515,1177603,1130737,1079597,1030299,984978,940860,894140,852544,810507
1452121,1732952,1445934,1265514,1197637,1139445,1084685,1034891,986894,936880,892839,848623,1452121,1732952,1445934,1265514,1197637,1139445,1084685,1034891,986894,936880,892839,848623
1251515,1445934,1732881,1461892,1287669,1210301,1147702,1091744,1039155,985442,938304,891345,1251515,1445934,1732881,1461892,1287669,1210301,1147702,1091744,1039155,985442,938304,891345
1177603,1265514,1461892,1761964,1498553,1323156,1241062,1175575,1116254,1056583,1004955,953375,1177603,1265514,1461892,1761964,1498553,1323156,1241062,1175575,1116254,1056583,1004955,953375
1130737,1197637,1287669,1498553,1807448,1540837,1363181,1279037,1210289,1142770,1084327,1027662,1130737,1197637,1287669,1498553,1807448,1540837,1363181,1279037,1210289,1142770,1084327,1027662
1079597,1139445,1210301,1323156,1540837,1843908,1574870,1397733,1307264,1230649,1164161,1100895,1079597,1139445,1210301,1323156,1540837,1843908,1574870,1397733,1307264,1230649,1164161,1100895
1030299,1084685,1147702,1241062,1363181,1574870,1876921,1608169,1422943,1323192,1246487,1174842,1030299,1084685,1147702,1241062,1363181,1574870,1876921,1608169,1422943,1323192,1246487,1174842
984978,1034891,1091744,1175575,1279037,1397733,1608169,1906959,1629554,1432217,1334785,1252916,984978,1034891,1091744,1175575,1279037,1397733,1608169,1906959,1629554,1432217,1334785,1252916
940860,986894,1039155,1116254,1210289,1307264,1422943,1629554,1931493,1639541,1447142,1341298,940860,986894,1039155,1116254,1210289,1307264,1422943,1629554,1931493,1639541,1447142,1341298
894140,936880,985442,1056583,1142770,1230649,1323192,1432217,1639541,1942782,1652218,1444125,894140,936880,985442,1056583,1142770,1230649,1323192,1432217,1639541,1942782,1652218,1444125
852544,892839,938304,1004955,1084327,1164161,1246487,1334785,1447142,1652218,1958045,1651923,852544,892839,938304,1004955,1084327,1164161,1246487,1334785,1447142,1652218,1958045,1651923
810507,848623,891345,953375,1027662,1100895,1174842,1252916,1341298,1444125,1651923,1957637,810507,848623,891345,953375,1027662,1100895,1174842,1252916,1341298,1444125,1651923,1957637
