"","V1"
"1",0
"2",0.0256202313609436
"3",0.0512404627218872
"4",0.0768606940828307
"5",0.102480925443774
"6",0.128101156804718
"7",0.153721388165661
"8",0.179341619526605
"9",0.204961850887549
"10",0.230582082248492
"11",0.256202313609436
"12",0.281822544970379
"13",0.307442776331323
"14",0.333063007692267
"15",0.35868323905321
"16",0.384303470414154
"17",0.409923701775097
"18",0.435543933136041
"19",0.461164164496984
"20",0.486784395857928
"21",0.512404627218872
"22",0.538024858579815
"23",0.563645089940759
"24",0.589265321301702
"25",0.614885552662646
"26",0.64050578402359
"27",0.666126015384533
"28",0.691746246745477
"29",0.71736647810642
"30",0.742986709467364
"31",0.768606940828307
"32",0.794227172189251
"33",0.819847403550195
"34",0.845467634911138
"35",0.871087866272082
"36",0.896708097633025
"37",0.922328328993969
"38",0.947948560354912
"39",0.973568791715856
"40",0.9991890230768
